DAUID,C1_COUNT_TOTAL
35201242,663.0
35201243,424.0
35201244,275.0
35201249,531.0
35201253,521.0
35201255,369.0
35201256,331.0
35201257,310.0
35201259,450.0
35201263,363.0
35201278,514.0
35201279,497.0
35201281,449.0
35201284,393.0
35201285,387.0
35201286,262.0
35201287,399.0
35201288,526.0
35201292,543.0
35201294,501.0
35201295,570.0
35201298,971.0
35201313,429.0
35201314,501.0
35201315,546.0
35201318,513.0
35201319,528.0
35201320,751.0
35201323,428.0
35201324,391.0
35201325,410.0
35201329,360.0
35201331,436.0
35201332,759.0
35201333,381.0
35201334,908.0
35201337,547.0
35201338,407.0
35201347,532.0
35201348,533.0
35201349,498.0
35201350,686.0
35201351,433.0
35201352,382.0
35201353,414.0
35201354,406.0
35201355,450.0
35201356,367.0
35201357,1067.0
35201360,604.0
35201363,372.0
35201364,470.0
35201365,768.0
35201368,322.0
35201370,367.0
35201371,390.0
35201372,472.0
35201373,370.0
35201374,706.0
35201377,360.0
35201378,521.0
35201379,594.0
35201380,468.0
35201381,411.0
35201384,387.0
35201388,656.0
35201389,954.0
35201390,581.0
35201391,320.0
35201393,573.0
35201394,551.0
35201395,470.0
35201400,268.0
35201405,331.0
35201410,365.0
35201411,578.0
35201412,365.0
35201413,419.0
35201415,362.0
35201418,401.0
35201419,440.0
35201420,467.0
35201422,572.0
35201423,375.0
35201426,440.0
35201427,489.0
35201428,615.0
35201429,493.0
35201430,427.0
35201431,346.0
35201432,597.0
35201433,618.0
35201434,476.0
35201436,504.0
35201437,485.0
35201438,481.0
35201441,445.0
35201442,802.0
35201443,358.0
35201444,390.0
35201445,343.0
35201446,252.0
35201447,340.0
35201451,356.0
35201452,1243.0
35201459,372.0
35201460,878.0
35201461,119.0
35201463,1124.0
35201464,721.0
35201471,777.0
35201477,438.0
35201478,443.0
35201479,423.0
35201480,428.0
35201481,381.0
35201485,511.0
35201486,425.0
35201490,463.0
35201491,557.0
35201498,394.0
35201499,530.0
35201500,554.0
35201501,696.0
35201502,640.0
35201503,563.0
35201504,404.0
35201508,734.0
35201509,548.0
35201510,540.0
35201511,609.0
35201512,639.0
35201513,612.0
35201514,720.0
35201515,611.0
35201516,670.0
35201517,580.0
35201518,496.0
35201521,613.0
35201522,578.0
35201523,405.0
35201524,534.0
35201525,483.0
35201541,642.0
35201542,558.0
35201543,543.0
35201544,484.0
35201547,674.0
35201548,440.0
35201552,514.0
35201553,566.0
35201554,555.0
35201555,638.0
35201558,607.0
35201559,630.0
35201560,455.0
35201567,668.0
35201568,537.0
35201569,436.0
35201570,365.0
35201573,1170.0
35201574,493.0
35201575,663.0
35201576,1297.0
35201577,465.0
35201578,390.0
35201579,999.0
35201580,345.0
35201584,481.0
35201585,469.0
35201586,384.0
35201587,456.0
35201588,609.0
35201589,658.0
35201591,575.0
35201592,458.0
35201594,417.0
35201596,721.0
35201598,396.0
35201599,527.0
35201600,624.0
35201601,909.0
35201602,395.0
35201603,478.0
35201604,486.0
35201605,390.0
35201608,442.0
35201609,348.0
35201611,487.0
35201612,363.0
35201613,374.0
35201614,626.0
35201615,460.0
35201616,562.0
35201624,448.0
35201629,301.0
35201630,431.0
35201631,666.0
35201647,582.0
35201648,541.0
35201649,544.0
35201650,377.0
35201652,564.0
35201653,436.0
35201654,477.0
35201658,481.0
35201660,454.0
35201666,514.0
35201672,553.0
35201673,411.0
35201676,826.0
35201693,1053.0
35201695,367.0
35201697,480.0
35201698,599.0
35201699,495.0
35201700,708.0
35201703,589.0
35201704,479.0
35201706,644.0
35201708,578.0
35201711,473.0
35201712,367.0
35201717,567.0
35201718,495.0
35201719,502.0
35201720,610.0
35201721,456.0
35201722,1044.0
35201723,438.0
35201724,395.0
35201726,451.0
35201730,454.0
35201732,725.0
35201735,439.0
35201736,821.0
35201737,638.0
35201738,480.0
35201739,469.0
35201740,557.0
35201741,450.0
35201750,474.0
35201751,292.0
35201752,271.0
35201753,253.0
35201754,282.0
35201755,507.0
35201756,665.0
35201757,371.0
35201759,815.0
35201760,430.0
35201761,510.0
35201781,438.0
35201782,221.0
35201783,376.0
35201784,782.0
35201785,580.0
35201786,456.0
35201787,498.0
35201790,344.0
35201792,419.0
35201793,313.0
35201804,441.0
35201805,651.0
35201806,521.0
35201816,472.0
35201817,474.0
35201819,380.0
35201820,542.0
35201822,907.0
35201823,434.0
35201824,441.0
35201826,458.0
35201829,472.0
35201830,428.0
35201831,330.0
35201832,261.0
35201833,422.0
35201839,456.0
35201841,472.0
35201843,471.0
35201844,531.0
35201845,435.0
35201847,436.0
35201848,386.0
35201850,436.0
35201853,686.0
35201854,1750.0
35201855,399.0
35201857,966.0
35201858,464.0
35201859,491.0
35201861,421.0
35201862,619.0
35201864,591.0
35201869,457.0
35201877,266.0
35201879,357.0
35201880,538.0
35201881,561.0
35201882,469.0
35201883,760.0
35201884,442.0
35201885,482.0
35201886,613.0
35201887,420.0
35201889,636.0
35201892,1036.0
35201893,455.0
35201894,623.0
35201896,407.0
35201901,426.0
35201902,525.0
35201904,617.0
35201905,402.0
35201908,497.0
35201912,500.0
35201914,263.0
35201915,373.0
35201936,482.0
35201937,465.0
35201950,487.0
35201953,522.0
35201955,499.0
35201959,711.0
35201960,1081.0
35201962,534.0
35201963,449.0
35201964,477.0
35201965,606.0
35201966,592.0
35201969,322.0
35201970,482.0
35201971,429.0
35201972,1341.0
35201973,801.0
35201976,654.0
35201977,1373.0
35201979,548.0
35201983,335.0
35201984,614.0
35201985,263.0
35201986,393.0
35201988,280.0
35201992,401.0
35201993,910.0
35201996,489.0
35201997,477.0
35201998,525.0
35201999,878.0
35202000,612.0
35202001,1437.0
35202002,681.0
35202003,1108.0
35202004,804.0
35202005,457.0
35202006,331.0
35202007,580.0
35202021,768.0
35202022,432.0
35202025,628.0
35202026,492.0
35202027,398.0
35202028,273.0
35202031,877.0
35202035,697.0
35202036,583.0
35202037,405.0
35202040,574.0
35202045,450.0
35202047,468.0
35202048,359.0
35202049,474.0
35202050,1128.0
35202055,863.0
35202056,1088.0
35202058,961.0
35202059,762.0
35202067,264.0
35202071,1111.0
35202072,404.0
35202079,308.0
35202080,544.0
35202084,402.0
35202085,1100.0
35202086,1267.0
35202087,783.0
35202088,783.0
35202089,584.0
35202091,524.0
35202096,1032.0
35202100,395.0
35202101,401.0
35202102,623.0
35202103,587.0
35202104,554.0
35202105,443.0
35202106,586.0
35202107,371.0
35202111,499.0
35202112,941.0
35202113,649.0
35202114,452.0
35202115,531.0
35202116,493.0
35202118,531.0
35202121,564.0
35202123,644.0
35202124,578.0
35202125,699.0
35202126,708.0
35202127,485.0
35202128,677.0
35202129,547.0
35202130,499.0
35202133,743.0
35202134,778.0
35202135,672.0
35202136,528.0
35202138,442.0
35202139,551.0
35202145,764.0
35202151,514.0
35202153,515.0
35202154,327.0
35202155,579.0
35202156,547.0
35202158,457.0
35202160,475.0
35202162,716.0
35202164,830.0
35202166,452.0
35202167,470.0
35202168,407.0
35202169,523.0
35202170,445.0
35202171,366.0
35202172,863.0
35202174,311.0
35202184,873.0
35202185,175.0
35202186,455.0
35202211,298.0
35202222,729.0
35202226,427.0
35202229,439.0
35202230,340.0
35202231,398.0
35202232,519.0
35202233,464.0
35202234,628.0
35202235,485.0
35202236,442.0
35202237,887.0
35202240,525.0
35202241,875.0
35202242,446.0
35202244,523.0
35202245,676.0
35202246,397.0
35202248,443.0
35202249,340.0
35202251,482.0
35202254,435.0
35202255,453.0
35202256,480.0
35202257,564.0
35202261,494.0
35202263,625.0
35202264,686.0
35202266,613.0
35202267,677.0
35202272,565.0
35202276,646.0
35202277,556.0
35202278,704.0
35202279,1310.0
35202280,189.0
35202281,631.0
35202283,543.0
35202284,561.0
35202285,1400.0
35202286,269.0
35202287,409.0
35202288,314.0
35202289,294.0
35202290,1366.0
35202293,433.0
35202294,393.0
35202295,555.0
35202299,498.0
35202302,556.0
35202303,474.0
35202306,496.0
35202307,399.0
35202316,918.0
35202321,509.0
35202322,554.0
35202325,641.0
35202327,560.0
35202338,397.0
35202340,424.0
35202341,515.0
35202342,961.0
35202343,525.0
35202346,913.0
35202347,410.0
35202348,465.0
35202349,455.0
35202354,390.0
35202356,517.0
35202358,461.0
35202360,539.0
35202364,399.0
35202366,486.0
35202367,740.0
35202368,539.0
35202369,574.0
35202370,530.0
35202371,699.0
35202372,478.0
35202374,605.0
35202380,410.0
35202382,667.0
35202384,558.0
35202385,625.0
35202386,1144.0
35202387,542.0
35202391,634.0
35202395,555.0
35202396,426.0
35202400,535.0
35202401,575.0
35202402,525.0
35202414,266.0
35202415,433.0
35202416,443.0
35202417,387.0
35202418,415.0
35202439,530.0
35202446,312.0
35202447,446.0
35202448,281.0
35202450,276.0
35202452,297.0
35202455,459.0
35202456,355.0
35202457,277.0
35202458,329.0
35202459,432.0
35202460,388.0
35202461,310.0
35202467,545.0
35202469,744.0
35202475,565.0
35202476,598.0
35202477,565.0
35202479,486.0
35202484,265.0
35202485,269.0
35202487,276.0
35202491,488.0
35202493,356.0
35202495,401.0
35202497,440.0
35202498,548.0
35202499,659.0
35202500,472.0
35202501,970.0
35202502,412.0
35202503,501.0
35202504,604.0
35202508,463.0
35202512,481.0
35202513,455.0
35202514,440.0
35202515,554.0
35202516,449.0
35202517,525.0
35202523,498.0
35202534,965.0
35202535,458.0
35202547,881.0
35202549,447.0
35202551,507.0
35202554,1260.0
35202565,703.0
35202566,875.0
35202567,823.0
35202572,610.0
35202575,544.0
35202576,622.0
35202577,502.0
35202584,386.0
35202586,487.0
35202587,579.0
35202588,329.0
35202589,991.0
35202590,416.0
35202593,434.0
35202594,328.0
35202600,491.0
35202605,609.0
35202606,633.0
35202608,787.0
35202611,410.0
35202612,615.0
35202615,414.0
35202617,525.0
35202618,653.0
35202619,647.0
35202621,479.0
35202622,424.0
35202623,238.0
35202627,397.0
35202636,452.0
35202637,542.0
35202639,459.0
35202642,462.0
35202643,491.0
35202644,495.0
35202645,432.0
35202646,570.0
35202648,530.0
35202649,692.0
35202650,774.0
35202654,1333.0
35202666,2549.0
35202669,2864.0
35202670,734.0
35202671,2799.0
35202673,1397.0
35202675,572.0
35202676,663.0
35202677,526.0
35202678,431.0
35202679,604.0
35202683,482.0
35202684,570.0
35202685,492.0
35202686,472.0
35202687,530.0
35202689,556.0
35202690,492.0
35202700,600.0
35202701,615.0
35202703,411.0
35202704,469.0
35202705,1418.0
35202706,530.0
35202707,704.0
35202712,816.0
35202727,636.0
35202733,1768.0
35202735,1497.0
35202736,897.0
35202741,488.0
35202742,365.0
35202743,934.0
35202747,663.0
35202749,315.0
35202750,772.0
35202751,383.0
35202752,430.0
35202753,440.0
35202760,728.0
35202761,424.0
35202762,906.0
35202763,404.0
35202764,415.0
35202765,567.0
35202769,551.0
35202773,599.0
35202774,486.0
35202775,472.0
35202777,549.0
35202779,412.0
35202791,564.0
35202792,390.0
35202797,580.0
35202798,636.0
35202799,670.0
35202800,426.0
35202805,615.0
35202807,1118.0
35202808,523.0
35202809,294.0
35202810,365.0
35202819,1080.0
35202840,283.0
35202842,361.0
35202846,289.0
35202847,1025.0
35202848,624.0
35202849,629.0
35202850,2031.0
35202878,481.0
35202879,1239.0
35202884,487.0
35202886,426.0
35202887,483.0
35202888,478.0
35202892,318.0
35202893,620.0
35202895,515.0
35202896,432.0
35202897,462.0
35202898,382.0
35202902,489.0
35202903,693.0
35202904,477.0
35202905,547.0
35202907,470.0
35202910,396.0
35202911,558.0
35202918,679.0
35202919,540.0
35202920,598.0
35202937,643.0
35202944,741.0
35202945,476.0
35202950,578.0
35202951,418.0
35202952,494.0
35202953,493.0
35202954,495.0
35202955,594.0
35202966,328.0
35202967,452.0
35202968,705.0
35202969,514.0
35202972,496.0
35202974,361.0
35202975,335.0
35202976,352.0
35202977,262.0
35202982,335.0
35202983,545.0
35202986,518.0
35202987,494.0
35202988,460.0
35202989,433.0
35202992,560.0
35202993,817.0
35202994,305.0
35202995,348.0
35202999,493.0
35203000,680.0
35203005,579.0
35203007,610.0
35203008,522.0
35203009,430.0
35203015,274.0
35203016,685.0
35203018,233.0
35203026,626.0
35203027,766.0
35203028,464.0
35203029,253.0
35203030,366.0
35203031,1038.0
35203032,376.0
35203033,375.0
35203036,454.0
35203037,478.0
35203041,808.0
35203043,420.0
35203044,346.0
35203045,537.0
35203046,408.0
35203048,527.0
35203049,231.0
35203050,362.0
35203053,1147.0
35203058,593.0
35203059,318.0
35203060,288.0
35203061,638.0
35203064,509.0
35203072,372.0
35203073,386.0
35203075,686.0
35203077,361.0
35203079,281.0
35203080,386.0
35203081,373.0
35203082,377.0
35203086,939.0
35203093,693.0
35203094,538.0
35203095,642.0
35203096,749.0
35203097,510.0
35203098,486.0
35203102,391.0
35203105,390.0
35203109,824.0
35203110,573.0
35203112,452.0
35203113,258.0
35203126,608.0
35203128,417.0
35203129,394.0
35203130,458.0
35203131,1434.0
35203132,452.0
35203133,334.0
35203134,382.0
35203135,513.0
35203136,454.0
35203137,687.0
35203138,454.0
35203139,565.0
35203140,732.0
35203141,455.0
35203142,525.0
35203144,529.0
35203148,449.0
35203150,481.0
35203151,471.0
35203152,602.0
35203156,384.0
35203161,520.0
35203162,973.0
35203163,513.0
35203167,292.0
35203170,596.0
35203190,1290.0
35203191,293.0
35203192,605.0
35203193,505.0
35203194,588.0
35203195,726.0
35203196,292.0
35203197,453.0
35203198,338.0
35203201,668.0
35203202,456.0
35203203,336.0
35203204,303.0
35203211,302.0
35203212,414.0
35203218,625.0
35203219,390.0
35203220,389.0
35203221,566.0
35203222,623.0
35203223,202.0
35203225,450.0
35203226,545.0
35203229,483.0
35203231,692.0
35203232,694.0
35203233,636.0
35203234,672.0
35203235,555.0
35203236,638.0
35203237,612.0
35203240,790.0
35203241,581.0
35203242,573.0
35203243,450.0
35203245,423.0
35203246,432.0
35203247,653.0
35203248,611.0
35203249,541.0
35203250,618.0
35203251,543.0
35203253,363.0
35203254,454.0
35203255,534.0
35203256,547.0
35203258,544.0
35203259,631.0
35203260,453.0
35203261,675.0
35203263,422.0
35203264,570.0
35203265,502.0
35203266,462.0
35203267,533.0
35203270,83.0
35203271,549.0
35203273,1459.0
35203274,807.0
35203275,965.0
35203276,605.0
35203277,502.0
35203278,492.0
35203279,634.0
35203280,420.0
35203281,438.0
35203282,428.0
35203283,600.0
35203284,426.0
35203285,540.0
35203293,188.0
35203294,598.0
35203297,522.0
35203298,540.0
35203299,516.0
35203301,475.0
35203314,562.0
35203315,382.0
35203316,423.0
35203321,374.0
35203322,628.0
35203330,1062.0
35203334,482.0
35203337,357.0
35203338,427.0
35203339,423.0
35203342,1306.0
35203344,286.0
35203345,593.0
35203346,390.0
35203347,339.0
35203348,805.0
35203350,923.0
35203351,603.0
35203352,448.0
35203353,493.0
35203354,543.0
35203355,503.0
35203358,460.0
35203359,474.0
35203360,290.0
35203361,543.0
35203370,1511.0
35203373,328.0
35203374,591.0
35203375,295.0
35203376,284.0
35203377,543.0
35203378,640.0
35203379,575.0
35203380,458.0
35203381,465.0
35203382,491.0
35203383,388.0
35203386,604.0
35203387,565.0
35203388,525.0
35203389,464.0
35203393,930.0
35203396,400.0
35203399,546.0
35203400,361.0
35203401,290.0
35203402,361.0
35203412,602.0
35203413,419.0
35203414,554.0
35203415,407.0
35203416,640.0
35203417,587.0
35203418,598.0
35203419,607.0
35203420,695.0
35203423,593.0
35203435,765.0
35203440,616.0
35203441,469.0
35203442,272.0
35203443,466.0
35203444,664.0
35203445,570.0
35203446,569.0
35203447,635.0
35203448,960.0
35203449,1095.0
35203450,592.0
35203462,535.0
35203466,1313.0
35203467,482.0
35203468,534.0
35203469,467.0
35203470,813.0
35203471,536.0
35203472,676.0
35203479,382.0
35203480,478.0
35203486,814.0
35203489,675.0
35203490,599.0
35203494,541.0
35203495,486.0
35203501,511.0
35203505,503.0
35203508,589.0
35203510,481.0
35203511,575.0
35203512,596.0
35203513,553.0
35203519,934.0
35203522,801.0
35203523,391.0
35203524,438.0
35203525,475.0
35203526,478.0
35203528,505.0
35203529,504.0
35203530,484.0
35203531,460.0
35203533,458.0
35203534,486.0
35203535,486.0
35203536,438.0
35203538,456.0
35203540,480.0
35203541,877.0
35203542,619.0
35203543,557.0
35203544,553.0
35203545,562.0
35203546,672.0
35203547,615.0
35203548,760.0
35203552,641.0
35203554,469.0
35203561,1082.0
35203569,477.0
35203570,633.0
35203571,485.0
35203572,451.0
35203573,622.0
35203574,676.0
35203575,562.0
35203576,501.0
35203577,413.0
35203578,529.0
35203579,518.0
35203580,935.0
35203581,337.0
35203584,648.0
35203585,458.0
35203588,582.0
35203589,697.0
35203590,1454.0
35203591,937.0
35203592,689.0
35203593,323.0
35203594,786.0
35203595,602.0
35203596,333.0
35203597,460.0
35203600,404.0
35203605,732.0
35203606,598.0
35203607,792.0
35203610,795.0
35203611,409.0
35203614,367.0
35203615,358.0
35203616,530.0
35203617,880.0
35203618,2306.0
35203619,547.0
35203621,1028.0
35203626,460.0
35203627,658.0
35203628,400.0
35203629,289.0
35203631,390.0
35203633,416.0
35203634,536.0
35203637,429.0
35203640,560.0
35203641,350.0
35203649,0.0
35203651,548.0
35203652,405.0
35203655,500.0
35203657,551.0
35203658,351.0
35203659,1228.0
35203660,434.0
35203661,685.0
35203664,1190.0
35203666,464.0
35203668,644.0
35203670,1210.0
35203672,422.0
35203673,271.0
35203675,627.0
35203678,256.0
35203679,365.0
35203680,461.0
35203681,522.0
35203682,837.0
35203683,401.0
35203684,1033.0
35203685,502.0
35203689,554.0
35203690,526.0
35203692,483.0
35203693,571.0
35203694,505.0
35203695,616.0
35203696,484.0
35203697,331.0
35203698,514.0
35203701,448.0
35203703,530.0
35203704,382.0
35203705,394.0
35203708,1133.0
35203709,982.0
35203710,525.0
35203711,355.0
35203712,416.0
35203714,578.0
35203715,426.0
35203717,68.0
35203719,593.0
35203720,586.0
35203722,525.0
35203723,461.0
35203724,529.0
35203726,483.0
35203729,380.0
35203730,434.0
35203731,1584.0
35203732,687.0
35203733,485.0
35203734,401.0
35203735,364.0
35203737,592.0
35203738,387.0
